datetime,power,oat
7/9/08 0:00,61.92,74.768
7/9/08 0:15,64.8,74.093
7/9/08 0:30,63.36,73.418
7/9/08 0:45,61.44,72.743
7/9/08 1:00,60,72.068
7/9/08 1:15,59.52,71.843
7/9/08 1:30,58.08,71.618
7/9/08 1:45,56.64,71.393
7/9/08 2:00,56.64,71.168
7/9/08 2:15,56.16,70.8755
7/9/08 2:30,53.76,70.583
7/9/08 2:45,52.8,70.2905
7/9/08 3:00,53.28,69.998
7/9/08 3:15,54.24,69.818
7/9/08 3:30,54.72,69.638
7/9/08 3:45,53.28,69.458
7/9/08 4:00,67.68,69.278
7/9/08 4:15,65.76,69.2195
7/9/08 4:30,70.08,69.161
7/9/08 4:45,96,69.1025
7/9/08 5:00,128.64,69.044
7/9/08 5:15,118.56,69.107
7/9/08 5:30,151.2,69.17
7/9/08 5:45,138.24,69.233
7/9/08 6:00,126.24,69.296
7/9/08 6:15,138.24,70.2365
7/9/08 6:30,143.04,71.177
7/9/08 6:45,158.88,72.1175
7/9/08 7:00,170.4,73.058
7/9/08 7:15,184.8,74.39
7/9/08 7:30,217.44,75.722
7/9/08 7:45,225.12,77.054
7/9/08 8:00,221.76,78.386
7/9/08 8:15,231.36,80.4515
7/9/08 8:30,233.28,82.517
7/9/08 8:45,236.16,84.5825
7/9/08 9:00,249.6,86.648
7/9/08 9:15,224.64,87.485
7/9/08 9:30,236.16,88.322
7/9/08 9:45,257.28,89.159
7/9/08 10:00,266.4,89.996
7/9/08 10:15,296.64,90.5225
7/9/08 10:30,268.8,91.049
7/9/08 10:45,291.36,91.5755
7/9/08 11:00,302.4,92.102
7/9/08 11:15,289.92,92.5925
7/9/08 11:30,319.2,93.083
7/9/08 11:45,336,93.5735
7/9/08 12:00,314.88,94.064
7/9/08 12:15,324.96,94.658
7/9/08 12:30,352.32,95.252
7/9/08 12:45,340.32,95.846
7/9/08 13:00,356.16,96.44
7/9/08 13:15,379.2,96.602
7/9/08 13:30,378.24,96.764
7/9/08 13:45,402.72,96.926
7/9/08 14:00,417.12,97.088
7/9/08 14:15,393.12,97.2635
7/9/08 14:30,385.44,97.439
7/9/08 14:45,386.88,97.6145
7/9/08 15:00,456,97.79
7/9/08 15:15,430.08,97.394
7/9/08 15:30,402.72,96.998
7/9/08 15:45,391.2,96.602
7/9/08 16:00,486.72,96.206
7/9/08 16:15,492,95.693
7/9/08 16:30,439.2,95.18
7/9/08 16:45,458.88,94.667
7/9/08 17:00,417.12,94.154
7/9/08 17:15,242.88,93.5015
7/9/08 17:30,158.4,92.849
7/9/08 17:45,167.52,92.1965
7/9/08 18:00,160.8,91.544
7/9/08 18:15,159.36,90.23
7/9/08 18:30,158.88,88.916
7/9/08 18:45,110.88,87.602
7/9/08 19:00,68.16,86.288
7/9/08 19:15,64.8,85.253
7/9/08 19:30,63.36,84.218
7/9/08 19:45,66.72,83.183
7/9/08 20:00,65.76,82.148
7/9/08 20:15,64.32,81.527
7/9/08 20:30,64.8,80.906
7/9/08 20:45,63.36,80.285
7/9/08 21:00,67.2,79.664
7/9/08 21:15,68.64,79.0025
7/9/08 21:30,68.64,78.341
7/9/08 21:45,69.12,77.6795
7/9/08 22:00,69.6,77.018
7/9/08 22:15,64.32,76.415
7/9/08 22:30,62.88,75.812
7/9/08 22:45,64.32,75.209
7/9/08 23:00,67.2,74.606
7/9/08 23:15,66.24,74.201
7/9/08 23:30,65.28,73.796
7/9/08 23:45,64.32,73.391
7/10/08 0:00,65.76,72.986
7/10/08 0:15,63.36,72.752
7/10/08 0:30,58.56,72.518
7/10/08 0:45,61.44,72.284
7/10/08 1:00,64.32,72.05
7/10/08 1:15,64.32,72.1355
7/10/08 1:30,64.32,72.221
7/10/08 1:45,59.52,72.3065
7/10/08 2:00,60,72.392
7/10/08 2:15,57.6,72.05
7/10/08 2:30,57.12,71.708
7/10/08 2:45,56.16,71.366
7/10/08 3:00,56.64,71.024
7/10/08 3:15,54.24,70.9385
7/10/08 3:30,54.24,70.853
7/10/08 3:45,53.28,70.7675
7/10/08 4:00,53.76,70.682
7/10/08 4:15,54.24,71.087
7/10/08 4:30,54.72,71.492
7/10/08 4:45,77.76,71.897
7/10/08 5:00,131.04,72.302
7/10/08 5:15,132,72.5135
7/10/08 5:30,134.88,72.725
7/10/08 5:45,159.36,72.9365
7/10/08 6:00,147.36,73.148
7/10/08 6:15,142.08,74.3135
7/10/08 6:30,150.24,75.479
7/10/08 6:45,169.44,76.6445
7/10/08 7:00,181.44,77.81
7/10/08 7:15,180.48,79.169
7/10/08 7:30,219.84,80.528
7/10/08 7:45,240.96,81.887
7/10/08 8:00,225.12,83.246
7/10/08 8:15,224.64,84.524
7/10/08 8:30,245.28,85.802
7/10/08 8:45,251.52,87.08
7/10/08 9:00,256.8,88.358
7/10/08 9:15,256.8,88.988
7/10/08 9:30,254.4,89.618
7/10/08 9:45,304.8,90.248
7/10/08 10:00,298.08,90.878
7/10/08 10:15,276.48,91.157
